title,typeOfResource,genre,placeTerm,publisher,dateIssued,languageTerm,form(marccategory),form(marcsmd),extent
"          WMIX94 AM & FM Radio presents the Mt. Vernon and Jefferson County, Illinois map                  Mt. Vernon and Jefferson County, Illinois map                  Mount Vernon and Jefferson County, Illinois map       ",                   cartographic                ,map,"Springdale, Ohio",Merchant Maps,c1979 1979,          eng       ,map,map,"2 maps on 1 sheet : both sides ; sheet 59 x 89 cm., folded to 10 x 23 cm."
          WMIX94 AM & FM Radio presents the Mt. Vernon and Jefferson County map                  Mt. Vernon and Jefferson County map                  Mount Vernon and Jefferson County map       ,                   cartographic                ,map,Cincinnati,Merchant Maps,[198-?] 1980 1989,          eng       ,map,map,"2 maps on 1 sheet : both sides ; sheet 58 x 89 cm., folded to 23 x 11 cm."
"          Maps of Arlington Heights, Prospect Heights, Rolling Meadows, Elk Grove, and Mount Prospect, Illinois       ",                   cartographic                ,map,"Springdale, Ohio",Merchant Maps,c1978 1978,          eng       ,map,map,"3 maps on 1 sheet : both sides ; sheet 89 x 59 cm., folded to 23 x 11 cm."
"          Maps of Adams County and Quincy, Illinois          happy to help you find your way around!       ",                   cartographic                ,map,"Springdale, Ohio",Merchant Maps,c1979 1979,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 57 x 87 cm. and 87 x 56 cm., sheet 59 x 89 cm., folded to 10 x 23 cm."
"          Maps of Sterling, Rock Falls, Morrison, and Whiteside County, Illinois          happy to help you find your way around!       ",                   cartographic                ,map,"Springdale, Ohio",Merchant Maps,c1979 1979,          eng       ,map,map,"3 maps on 1 sheet : both sides ; sheet 89 x 59 cm., folded to 11 x 23 cm."
"          Maps of Ogle County, Mt. Morris, Polo, Oregon & Rochelle, Illinois                  Maps of Ogle County, Mount Morris, Polo, Oregon, and Rochelle, Illinois       ",                   cartographic                ,map,"Springdale, Ohio",Merchant Maps,c1978 1978,          eng       ,map,map,"5 maps on 1 sheet : both sides ; sheet 59 x 89 cm., folded to 23 x 10 cm."
"          Fulton County, Illinois with Canton & Farmington       ",                   cartographic                ,map,Cincinnati,Merchant Maps,[198-?] 1980 1989,          eng       ,map,map,"3 maps on 1 sheet ; sheet 74 x 59 cm., folded to 25 x 11 cm."
"          Fayette & Marion Counties with Vandalia & Salem, Illinois                  Fayette and Marion Counties with Vandalia and Salem, Illinois       ",                   cartographic                ,map,Cincinnati,Merchant Maps,[198-?] 1980 1989,          eng       ,map,map,"4 maps on 1 sheet : both sides ; sheet 74 x 59 cm., folded to 25 x 11 cm."
"          Maps of Jackson County, Murphysboro & Carbondale, Illinois       ",                   cartographic                ,map,"Forest Park, Ohio",Merchant Maps,[197-?] 1970 1979,          eng       ,map,map,"3 maps on 1 sheet : both sides ; sheet 64 x 97 cm., folded to 25 x 11 cm."
"          Mc Lean County with Bloomington & Normal cities, Illinois                  Mc Lean County with Bloomington and Normal cities, Illinois       ",                   cartographic                ,map,Cincinnati,Merchant Maps,[198-?] 1980 1989,          eng       ,map,map,"2 maps on 1 sheet : both sides ; sheet 74 x 59 cm., folded to 25 x 11 cm."
"          Maps of Knox County & Galesburg City, Illinois                  Maps of Knox County and Galesburg City, Illinois       ",                   cartographic                ,map,Cincinnati,Merchant Maps,[198-?] 1980 1989,          eng       ,map,map,"2 maps on 1 sheet ; sheet 64 x 97 cm., folded to 11 x 25 cm."
"          Piatt County with Monticello City, Illinois       ",                   cartographic                ,map,Cincinnati,Merchant Maps,[198-?] 1980 1989,          eng       ,map,map,"2 maps on 1 sheet : both sides ; sheet 74 x 59 cm., folded to 25 x 11 cm."
"          Adams County, city of Quincy, Illinois       ",                   cartographic                ,map,Cincinnati,Merchant Maps,[198-?] 1980 1989,          eng       ,map,map,"2 maps on 1 sheet : both sides ; sheet 74 x 59 cm., folded to 25 x 11 cm."
"          Lake County with Waukegan, Illinois       ",                   cartographic                ,map,Cincinnati,Merchant Maps,[198-?] 1980 1989,          eng       ,map,map,"2 maps on 1 sheet : both sides ; sheet 74 x 59 cm., folded to 25 x 11 cm."
"          Jefferson County & Mt. Vernon, Illinois                  Jefferson County and Mount Vernon, Illinois       ",                   cartographic                ,map,Cincinnati,Merchant Maps,[198-?] 1980 1989,          eng       ,map,map,"2 maps on 1 sheet : both sides ; sheet 74 x 59 cm., folded to 25 x 11 cm."
"          Highland Park & Lake County, Illinois                  Highland Park and Lake County, Illinois       ",                   cartographic                ,map,Cincinnati,Merchant Maps,[198-?] 1980 1989,          eng       ,map,map,"2 maps on 1 sheet : both sides ; sheet 74 x 59 cm., folded to 25 x 11 cm."
"          Collinsville & Edwardsville Cities with Madison County, Illinois                  Collinsville and Edwardsville Cities with Madison County, Illinois       ",                   cartographic                ,map,Cincinnati,Merchant Maps,[198-?] 1980 1989,          eng       ,map,map,"3 maps on 1 sheet : both sides ; sheet 74 x 59 cm., folded to 25 x 11 cm."
"          Champaign County with Urbana & Champaign Cities, Illinois                  Champaign County with Urbana and Champaign Cities, Illinois       ",                   cartographic                ,map,Cincinnati,Merchant Maps,[198-?] 1980 1989,          eng       ,map,map,"2 maps on 1 sheet : both sides ; sheet 74 x 59 cm., folded to 25 x 11 cm."
"          Clinton County, Carlyle City, Illinois       ",                   cartographic                ,map,Cincinnati,Merchant Maps,[198-?] 1980 1989,          eng       ,map,map,"2 maps on 1 sheet ; sheet 74 x 59 cm., folded to 25 x  11 cm."
"          Clinton & Marion Counties with Centralia, Illinois                  Clinton and Marion Counties with Centralia, Illinois       ",                   cartographic                ,map,"Springdale, Ohio?]",Merchant Maps,[197-?] 1970 1979,          eng       ,map,map,"3 maps on 1 sheet : both sides ; sheet 74 x 59 cm., folded to 25 x 11 cm."
"          Reliable Termite & Pest Control proudly presents the 1978 road map of Peoria City & Peoria Co., Illinois                  Peoria City & Peoria Co., Illinois                  Peoria City and Peoria County, Illinois       ",                   cartographic                ,map,"Forest Park, Ohio",Merchant Maps,[1978] 1978,          eng       ,map,map,"2 maps on 1 sheet  : both sides ; sheet 97 x 64 cm., folded to 25 x 11 cm."
"          Welcome to McLean County, Normal, and Bloomington, Illinois          happy to help you find your way around!       ",                   cartographic                ,map,Cincinnati,Merchant Maps,c1978 1978,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 62 x 95 cm. and 95 x 62 cm., sheet 64 x 97 cm., folded to 25 x 11 cm."
"          Welcome to Kane County, Elgin, and South Elgin, Illinois          happy to help you find your way around!       ",                   cartographic                ,map,"Springdale, Ohio?]",Merchant Maps,[197-?] 1970 1979,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 91 x 57 cm. and 94 x 60 cm., sheet 97 x 64 cm., folded to 25 x 11 cm."
"          Maps of McLean County with Bloomington & Normal cities, Illinois                  Maps of McLean County with Bloomington and Normal cities, Illinois       ",                   cartographic                ,map,Cincinnati,Merchant Maps,[198-?] 1980 1989,          eng       ,map,map,"2 maps on 1 sheet : both sides ; sheet 59 x 89 cm., folded to 11 x 23 cm."
"          Maps of La Salle County, La Salle, Peru, Oglesby, and Streator, Illinois          happy to help you find your way around       ",                   cartographic                ,map,"Springdale, Ohio",Merchant Maps,c1978 1978,          eng       ,map,map,"3 maps on 1 sheet : both sides ; sheet 58 x 89 cm., folded to 10 x 23 cm."
"          Welcome to Madison County with Granite City, Madison & Pontoon Beach, Illinois       ",                   cartographic                ,map,"Springdale, Ohio?]",Merchant Maps,[197-?] 1970 1979,          eng       ,map,map,"2 maps on 1 sheet : both sides ; sheet 58 x 89 cm., folded to 11 x 23 cm."
"          Maps of McHenry County, McHenry, Crystal Lake, and Woodstock, Illinois          happy to help you find your way around!       ",                   cartographic                ,map,"Springdale, Ohio",Merchant Maps,c1980 1980,          eng       ,map,map,"4 maps on 1 sheet : both sides ; sheet 59 x 89 cm., folded to 10 x 23 cm."
"          Madison County with Edwardsville & Collinsville, Illinois                  Madison County with Edwardsville and Collinsville, Illinois       ",                   cartographic                ,map,"Cincinnati, Ohio",Merchant Maps,[198-?] 1980 1989,          eng       ,map,map,"3 maps on 1 sheet : both sides ; sheet 59 x 90 cm., folded to 11 x 23 cm."
"          Welcome to Madison County, Alton & East Alton, Illinois       ",                   cartographic                ,map,"Forest Park, Ohio",Merchant Maps,c1978 1978,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 55 x 85 cm., sheet 58 x 89 cm., folded to 11 x 23 cm."
"          Maps of Ottawa, LaSalle, Marseilles, and LaSalle County, Illinois       ",                   cartographic                ,map,"Springdale, Ohio",Merchant Maps,c1979 1979,          eng       ,map,map,"4 maps on 1 sheet : both sides ; sheet 89 x 59 cm., folded to 23 x 10 cm."
"          Maps of Kane County, Aurora, North Aurora, and Montgomery, Illinois       ",                   cartographic                ,map,Cincinnati?],Merchant Maps,[198-?] 1980 1989,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 86 x 55 cm., sheet 89 x 59 cm., folded to 23 x 11 cm."
"          Maps of Marion & Fayette Counties with Salem and Vandalia, Illinois          happy to help you find your way around!                  Maps of Marion and Fayette Counties with Salem and Vandalia, Illinois       ",                   cartographic                ,map,"Springdale, Ohio",Merchant Maps,c1979 1979,          eng       ,map,map,"4 maps on 1 sheet : both sides ; sheet 89 x 59 cm., folded to 23 x 11 cm."
"          Lake County with cities of Waukegan & Highland Park, Illinois       ",                   cartographic                ,map,Cincinnati,Merchant Maps,[198-?] 1980 1989,          eng       ,map,map,"3 maps on 1 sheet : both sides ; sheet 90 x 59 cm., folded to 23 x 11 cm."
"          Maps of Kane County and Aurora, Illinois          happy to help you find your way around!       ",                   cartographic                ,map,Cincinnati?],Merchant Maps,[198-?] 1980 1989,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 87 x 56 cm. and 56 x 87 cm., sheet 89 x 59 cm., folded to 23 x 10 cm."
"          Maps of Jackson County, Murphysboro, and Carbondale, Illinois          happy to help you find your way around!       ",                   cartographic                ,map,"Springdale, Ohio",Merchant Maps,c1979 1979,          eng       ,map,map,"3 maps on 1 sheet : both sides ; sheet 63 x 97 cm., folded to 11 x 25 cm."
"          WMIX94 AM & FM Radio presents the Clinton & Marion counties, Central & Centralia cities, Illinois map                  Clinton & Marion counties, Central & Centralia cities, Illinois map                  Clinton and Marion counties, Central and Centralia cities, Illinois map       ",                   cartographic                ,map,"Springdale, Ohio",Merchant Maps,c1979 1979,          eng       ,map,map,"3 maps on 1 sheet : both sides ; sheet 59 x 89 cm., folded to 11 x 23 cm."
